Article,Timestamp,Image metadata URL,Raw image URL
"Politics of global warming",2019-04-06T19:08:34Z,"https://commons.wikimedia.org/wiki/File:BoiseDSAClimateChangeMarchers.jpg","https://upload.wikimedia.org/wikipedia/commons/1/14/BoiseDSAClimateChangeMarchers.jpg"
"Politics of global warming",2019-04-06T19:08:34Z,"https://commons.wikimedia.org/wiki/File:CO2 emission pie chart.svg","https://upload.wikimedia.org/wikipedia/commons/c/ca/CO2_emission_pie_chart.svg"
"Politics of global warming",2019-04-06T19:08:34Z,"https://commons.wikimedia.org/wiki/File:DanielPatrickMoynihan.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fd/DanielPatrickMoynihan.jpg"
"Politics of global warming",2019-04-06T19:07:20Z,"https://commons.wikimedia.org/wiki/File:Politics of global warming.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1e/Politics_of_global_warming.jpg"
"Politics of global warming",2019-04-06T19:07:20Z,"https://commons.wikimedia.org/wiki/File:BoiseDSAClimateChangeMarchers.jpg","https://upload.wikimedia.org/wikipedia/commons/1/14/BoiseDSAClimateChangeMarchers.jpg"
"Politics of global warming",2019-04-06T19:07:20Z,"https://commons.wikimedia.org/wiki/File:CO2 emission pie chart.svg","https://upload.wikimedia.org/wikipedia/commons/c/ca/CO2_emission_pie_chart.svg"
"Politics of global warming",2019-04-06T19:07:20Z,"https://commons.wikimedia.org/wiki/File:DanielPatrickMoynihan.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fd/DanielPatrickMoynihan.jpg"
"Politics of global warming",2019-04-06T19:05:40Z,"https://commons.wikimedia.org/wiki/File:Politics of global warming.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1e/Politics_of_global_warming.jpg"
"Politics of global warming",2019-04-06T19:05:40Z,"https://commons.wikimedia.org/wiki/File:BoiseDSAClimateChangeMarchers.jpg","https://upload.wikimedia.org/wikipedia/commons/1/14/BoiseDSAClimateChangeMarchers.jpg"
"Politics of global warming",2019-04-06T19:05:40Z,"https://commons.wikimedia.org/wiki/File:CO2 emission pie chart.svg","https://upload.wikimedia.org/wikipedia/commons/c/ca/CO2_emission_pie_chart.svg"
"Politics of global warming",2019-04-06T19:05:40Z,"https://commons.wikimedia.org/wiki/File:DanielPatrickMoynihan.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fd/DanielPatrickMoynihan.jpg"
"Politics of global warming",2019-04-06T19:04:50Z,"https://commons.wikimedia.org/wiki/File:Politics of global warming.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1e/Politics_of_global_warming.jpg"
"Politics of global warming",2019-04-06T19:04:50Z,"https://commons.wikimedia.org/wiki/File:BoiseDSAClimateChangeMarchers.jpg","https://upload.wikimedia.org/wikipedia/commons/1/14/BoiseDSAClimateChangeMarchers.jpg"
"Politics of global warming",2019-04-06T19:04:50Z,"https://commons.wikimedia.org/wiki/File:CO2 emission pie chart.svg","https://upload.wikimedia.org/wikipedia/commons/c/ca/CO2_emission_pie_chart.svg"
"Politics of global warming",2019-04-06T19:04:50Z,"https://commons.wikimedia.org/wiki/File:DanielPatrickMoynihan.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fd/DanielPatrickMoynihan.jpg"
"Politics of global warming",2019-04-06T18:53:32Z,"https://commons.wikimedia.org/wiki/File:Politics of global warming.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1e/Politics_of_global_warming.jpg"
"Politics of global warming",2019-04-06T18:53:32Z,"https://commons.wikimedia.org/wiki/File:BoiseDSAClimateChangeMarchers.jpg","https://upload.wikimedia.org/wikipedia/commons/1/14/BoiseDSAClimateChangeMarchers.jpg"
"Politics of global warming",2019-04-06T18:53:32Z,"https://commons.wikimedia.org/wiki/File:CO2 emission pie chart.svg","https://upload.wikimedia.org/wikipedia/commons/c/ca/CO2_emission_pie_chart.svg"
